59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
18416,C18-neg,,QI4833,130.0498,1.04,HMDB0000766,1,N-Acetylalanine,Organic acids,Amino acids and peptides,Amino acids,2249,2936,2328,2317,1741,1558,2383,1969,1499,2355,1917,2211,0.778783442,0.173656769,1.154380342,0.33272342
84,HILIC-pos,,QI07150,190.071,4.79,HMDB0001138,1,N-Acetylglutamic acid,Organic acids,Amino acids and peptides,Amino acids,7080,6484,6356,8452,7488,9283,7867,8504,10302,15856,11754,13589,1.339006024,0.041870322,1.63339016,0.014695869
7529,HILIC-neg,KEEP,TF120,188.0565,6.27,HMDB0001138,1,N-Acetylglutamic acid,Organic acids,Amino acids and peptides,Amino acids,59721305,51466875,48279186,68722967,57058227,64921580,84017243,80606885,74057397,109319384,101795310,107957346,1.49674213,0.004179687,1.673137906,0.00049535
140,HILIC-pos,,QI06421,124.0396,3.84,HMDB0001488,1,Nicotinic acid,Organoheterocyclic compounds,Pyridines,Pyridinecarboxylic acids,92379,91439,84424,128604,117080,155440,83891,125398,116438,147975,108775,136378,1.214302756,0.210402676,0.980066014,0.877725128
7531,HILIC-neg,KEEP,TF124,122.0247,3.7,HMDB0001488,1,Nicotinic acid,Organoheterocyclic compounds,Pyridines,Pyridinecarboxylic acids,1409812,1051387,1102628,1889990,1826716,1965467,1267935,1415218,1338477,1872162,1490010,1862672,1.128458256,0.271461936,0.919515122,0.312657734
155,HILIC-pos,,QI04215,300.2894,2.04,HMDB0002100,1,Palmitoyl-EA,Fatty Acyls,Fatty amides,NAE,1686,1150,1635,2284,1716,1267,1839,1269,1846,1385,1412,1709,1.108029524,0.564066758,0.855515474,0.461847768
9959,C8-pos,KEEP,QI02126,300.2894,5.17,HMDB0002100,1,Palmitoyl-EA,Fatty Acyls,Fatty amides,NAE,48460,47763,49400,50470,52642,50101,51789,49334,50112,49835,49765,51045,1.038537868,0.096828892,0.98323902,0.393009571
18407,C18-neg,,TF14,344.2804,13.75,HMDB0002100,1,Palmitoyl-EA,Fatty Acyls,Fatty amides,NAE,15825,20439,25492,18408,18117,29175,17136,22411,33200,21983,28901,17525,1.17797461,0.54109595,1.041232877,0.863262251
90,HILIC-pos,,QI05961,220.1179,3.15,HMDB0000210,1,Pantothenic acid,Organic acids,Amino acids and peptides,Amino acids,935881,1372719,991007,1038912,1008333,1207505,1026622,1148971,1115931,1325415,1114247,630925,0.997550314,0.985783261,0.94341716,0.789109647
7536,HILIC-neg,KEEP,TF130,218.1034,3.67,HMDB0000210,1,Pantothenic acid,Organic acids,Amino acids and peptides,Amino acids,102109646,133869134,99166604,101618874,120621412,121753299,111945973,124613526,96803328,124312594,107588850,63053972,0.994681243,0.9675148,0.857444525,0.447173355
203,HILIC-pos,,QI09539,706.5381,6.81,HMDB0007869,0,PC 30:0,Glycerophospholipids,Glycerophosphocholines,PC,396908,340670,329912,373720,359842,400033,388661,428824,441642,644932,439534,505531,1.17952112,0.071316843,1.40261469,0.069202362
9908,C8-pos,KEEP,QI03213,706.5375,8.41,HMDB0007869,2,PC 30:0,Glycerophospholipids,Glycerophosphocholines,PC,1304590,1414645,1358297,1594342,1401267,1691940,1546079,1827415,1780050,2467225,1864476,1974634,1.263888058,0.017935265,1.345337403,0.057306662
202,HILIC-pos,,QI09538,704.5216,6.81,HMDB0007870,2,PC 30:1,Glycerophospholipids,Glycerophosphocholines,PC,1033993,938917,846508,1221602,1095164,1247495,654073,786559,905839,1559181,911508,1043604,0.832253678,0.156984821,0.985980825,0.93858425
9907,C8-pos,KEEP,QI09085,704.5221,8.06,HMDB0007870,2,PC 30:1,Glycerophospholipids,Glycerophosphocholines,PC,3141226,3835210,3256698,4602890,4287834,4829365,2548563,3220178,3321157,5433537,3684452,3817003,0.888280951,0.304549481,0.942777558,0.67714592
207,HILIC-pos,,QI09477,734.5686,6.77,HMDB0007871,2,PC 32:0,Glycerophospholipids,Glycerophosphocholines,PC,2167974,2216069,2048466,2130053,1967859,2339341,1893034,1951325,2285327,2773824,2338205,2493742,0.952923035,0.487007402,1.181524324,0.079739845
9911,C8-pos,KEEP,QI08658,734.5689,8.87,HMDB0007871,2,PC 32:0,Glycerophospholipids,Glycerophosphocholines,PC,6528374,8636344,7858573,9156192,7936884,9725907,7397414,7987150,8314741,12457688,10547113,9737264,1.029362179,0.754026576,1.220854087,0.109862656
206,HILIC-pos,,QI09475,730.5375,6.77,HMDB0007874,0,PC 32:2,Glycerophospholipids,Glycerophosphocholines,PC,3646151,4031234,3308822,3963474,3920193,4613396,2876167,3623116,4375232,6990996,4252201,4355118,0.989833434,0.941952674,1.248158467,0.325830224
9909,C8-pos,KEEP,QI03121,730.5376,8.23,HMDB0007874,2,PC 32:2,Glycerophospholipids,Glycerophosphocholines,PC,10515232,14012452,11079158,13773908,14908886,16847436,9489189,13187951,13676492,27639296,16247405,14958683,1.020973216,0.891270849,1.292446447,0.342820325
212,HILIC-pos,,QI09432,760.5824,6.73,HMDB0007972,2,PC 34:1,Glycerophospholipids,Glycerophosphocholines,PC,6016443,6750799,6023129,7165534,6850808,8085679,6814633,7214894,7378350,9698181,8256266,7380993,1.13930039,0.041928821,1.146295174,0.234406297
9915,C8-pos,KEEP,QI08576,760.5845,9.02,HMDB0007972,2,PC 34:1,Glycerophospholipids,Glycerophosphocholines,PC,21480303,29145392,25326132,32583816,31122337,36458185,28635593,33699676,32290850,49347813,39407587,34298302,1.245870215,0.080770181,1.228518098,0.179574704
211,HILIC-pos,,QI09486,754.5353,6.77,HMDB0007883,2,PC 34:4,Glycerophospholipids,Glycerophosphocholines,PC,627351,653744,556461,733187,686928,798023,582536,694169,702841,1082678,780037,789282,1.077271114,0.383651636,1.195596036,0.238473312
9912,C8-pos,KEEP,QI03071,754.5375,8.07,HMDB0007883,2,PC 34:4,Glycerophospholipids,Glycerophosphocholines,PC,678767,871015,746290,934528,874572,1124818,585198,782864,836696,1411054,1004255,1012061,0.960230341,0.764597427,1.16818875,0.345799813
217,HILIC-pos,,QI09378,784.5834,6.69,HMDB0008105,2,PC 36:3,Glycerophospholipids,Glycerophosphocholines,PC,4227133,4727274,4503391,5174049,4706525,6250269,3771965,4751417,5321642,7901320,5917792,5622275,1.028773355,0.799303981,1.205230688,0.263539924
9917,C8-pos,KEEP,QI08681,784.5842,8.85,HMDB0008105,2,PC 36:3,Glycerophospholipids,Glycerophosphocholines,PC,15967048,22462950,21123050,26596585,24085169,30898432,18007139,24322479,24932086,45611958,30689175,30862817,1.129441838,0.435762731,1.313602668,0.184896715
195,HILIC-pos,,QI09445,746.6052,6.74,HMDB0011208,2,PC P-34:0 or PC O-34:1,Glycerophospholipids,Glycerophosphocholines,O-PC,29824,28772,28064,35321,30940,38370,25903,32840,27207,34389,28498,32308,0.991807062,0.919113184,0.909816402,0.318255027
9925,C8-pos,KEEP,QI08404,746.605,9.33,HMDB0011208,2,PC P-34:0 or PC O-34:1,Glycerophospholipids,Glycerophosphocholines,O-PC,97392,138620,122382,141468,127876,160725,109607,129820,114786,167625,129188,136038,0.988334068,0.922377485,1.006468729,0.954267751
194,HILIC-pos,,QI09444,744.5895,6.74,HMDB0011210,2,PC P-34:1 or PC O-34:2,Glycerophospholipids,Glycerophosphocholines,O-PC,38631,43101,37236,29975,31451,38259,25864,36035,36566,37549,26451,30122,0.827659539,0.155050744,0.944194212,0.677621305
9924,C8-pos,KEEP,QI08573,744.5893,9.02,HMDB0011210,2,PC P-34:1 or PC O-34:2,Glycerophospholipids,Glycerophosphocholines,O-PC,136020,190229,170087,172400,157449,206763,115225,172821,180008,200469,149208,152928,0.943018439,0.73424892,0.936626464,0.634028571
199,HILIC-pos,,QI09392,772.6195,6.7,HMDB0011243,2,PC P-36:1 or PC O-36:2,Glycerophospholipids,Glycerophosphocholines,O-PC,142054,170297,146772,155641,140935,184829,84720,90738,118364,123380,101509,108583,0.639963583,0.01526626,0.692705726,0.026782276
9927,C8-pos,KEEP,QI03825,772.6206,9.45,HMDB0011243,2,PC P-36:1 or PC O-36:2,Glycerophospholipids,Glycerophosphocholines,O-PC,608651,809582,759999,861729,757901,1066558,472647,582215,642900,703163,620312,630909,0.779422027,0.110326743,0.72756784,0.060960324
198,HILIC-pos,,QI09404,770.6036,6.71,HMDB0011244,2,PC P-36:2 or PC O-36:3,Glycerophospholipids,Glycerophosphocholines,O-PC,32951,37877,35855,32711,30005,44627,16876,20928,26589,23833,21608,28161,0.60359195,0.011136426,0.685671166,0.082773896
9926,C8-pos,KEEP,QI03686,770.6048,9.2,HMDB0011244,2,PC P-36:2 or PC O-36:3,Glycerophospholipids,Glycerophosphocholines,O-PC,106642,152483,136627,134488,108739,160260,48616,68579,88189,92315,74136,105613,0.518971477,0.022813044,0.674281947,0.066003248
236,HILIC-pos,,QI08151,690.5058,5.71,HMDB0008924,2,PE 32:1,Glycerophospholipids,Glycerophosphoethanolamines,PE,2638522,2581916,2164842,2463935,2800171,2730170,2054952,2172093,2337601,2577658,1984562,1868755,0.88888248,0.183657703,0.804447457,0.097887262
9929,C8-pos,KEEP,QI03307,690.506,8.57,HMDB0008924,2,PE 32:1,Glycerophospholipids,Glycerophosphoethanolamines,PE,6312405,8148956,5756037,7856200,8982056,8956637,5626654,6682767,6220981,9651244,6175807,6104738,0.916557215,0.513344971,0.850237642,0.353507766
239,HILIC-pos,,QI09508,720.5537,6.79,HMDB0008925,2,PE 34:0,Glycerophospholipids,Glycerophosphoethanolamines,PE,128256,137579,124401,98877,76604,98715,121615,136438,119538,151273,110721,126601,0.967596531,0.558033807,1.417216152,0.05198923
9932,C8-pos,KEEP,QI08802,720.5534,8.64,HMDB0008925,2,PE 34:0,Glycerophospholipids,Glycerophosphoethanolamines,PE,356816,487914,456131,380956,286737,362040,430904,496651,379136,531042,398388,435696,1.004481647,0.972036862,1.325708703,0.084065258
